MAGs	count	percentage
GFS_10320	8107.911361	3.69567E-05
GFS_10331	141242.0682	0.000643795
GFS_10335	29316.60703	0.000133628
GFS_10362	6080.999193	2.77178E-05
GFS_1044	31276.60934	0.000142562
GFS_10454	27562.8439	0.000125634
GFS_10456	182124.372	0.000830141
GFS_10464	5184.317754	2.36306E-05
GFS_10465	42344.32633	0.00019301
GFS_10472	5978.319504	2.72498E-05
GFS_10485	347744.3575	0.001585053
GFS_10486	318047.484	0.001449692
GFS_1049	843.4249131	3.84441E-06
GFS_10490	54920.8423	0.000250335
GFS_10499	3989.24654	1.81834E-05
GFS_10507	50886.69204	0.000231947
GFS_10508	40259.2961	0.000183506
GFS_10510	3779.640372	1.7228E-05
GFS_10512	524.2353124	2.38952E-06
GFS_10516	4458.209175	2.0321E-05
GFS_10520	1282.673403	5.84655E-06
GFS_10525	128375.5526	0.000585148
GFS_1053	138911.5888	0.000633173
GFS_10545	13512.37781	6.15907E-05
GFS_10563	4072.9235	1.85648E-05
GFS_10566	27517.52301	0.000125428
GFS_10644	6466.920919	2.94769E-05
GFS_10645	4936.417572	2.25007E-05
GFS_10646	12105.26141	5.5177E-05
GFS_10653	4189.893142	1.90979E-05
GFS_10664	1049.072053	4.78177E-06
GFS_10668	975.9924599	4.44867E-06
GFS_10674	2281.425556	1.0399E-05
GFS_10685	58311.9709	0.000265792
GFS_10704	5416.352661	2.46883E-05
GFS_10705	4418.814594	2.01414E-05
GFS_10711	28102.41838	0.000128094
GFS_10719	7762.729344	3.53833E-05
GFS_10727	333480.6522	0.001520038
GFS_10742	60955.88202	0.000277843
GFS_10753	66030.38554	0.000300973
GFS_10772	85740.55145	0.000390814
GFS_10782	13885.58899	6.32919E-05
GFS_10814	52135.10625	0.000237637
GFS_10835	9620.329978	4.38504E-05
GFS_10842	574.5831261	2.61901E-06
GFS_10852	1539.255637	7.01608E-06
GFS_10855	9083.97411	4.14056E-05
GFS_10859	121192.8339	0.000552409
GFS_10864	118649.0156	0.000540814
GFS_10870	4293.569534	1.95705E-05
GFS_10878	13499.39799	6.15316E-05
GFS_10881	24194.39053	0.00011028
GFS_10893	2172.257704	9.90136E-06
GFS_10894	2783.242188	1.26863E-05
GFS_10895	4111.958551	1.87427E-05
GFS_10898	18139.33508	8.26809E-05
GFS_10903	4792.749154	2.18458E-05
GFS_10905	1732.29867	7.89599E-06
GFS_10912	13920.52895	6.34511E-05
GFS_10914	18634.71403	8.49389E-05
GFS_10924	12648.04373	5.7651E-05
GFS_1093	918045.1108	0.00418454
GFS_10932	13587.27986	6.19322E-05
GFS_10936	17275.81973	7.87449E-05
GFS_10943	1022.40916	4.66024E-06
GFS_10948	1038.934942	4.73557E-06
GFS_10949	22849.60286	0.000104151
GFS_10965	16522.03505	7.53091E-05
GFS_1097	197697.3888	0.000901124
GFS_10983	89376.90088	0.000407389
GFS_10988	73188.47436	0.0003336
GFS_10992	46737.77901	0.000213035
GFS_11	26111.70473	0.00011902
GFS_110	28696.1408	0.0001308
GFS_11000	58295.9635	0.000265719
GFS_11005	3292.456691	1.50073E-05
GFS_11017	763.6598588	3.48084E-06
GFS_11021	4283.550123	1.95248E-05
GFS_11049	9035.171111	4.11832E-05
GFS_11069	45234.55195	0.000206184
GFS_11075	180982.1525	0.000824934
GFS_11103	59971.02453	0.000273354
GFS_11195	20086.50208	9.15563E-05
GFS_11196	33138.3261	0.000151048
GFS_11198	16611.37588	7.57163E-05
GFS_112	1243.257455	5.66689E-06
GFS_11203	35215.03635	0.000160514
GFS_11211	19313.7904	8.80342E-05
GFS_11219	163447.696	0.000745011
GFS_11242	244327.2235	0.001113667
GFS_11244	60746.0934	0.000276887
GFS_11245	140012.5513	0.000638191
GFS_1125	12989.31963	5.92066E-05
GFS_11298	21232.98145	9.6782E-05
GFS_1130	35361.7356	0.000161182
GFS_11348	11205.73997	5.10769E-05
GFS_11353	9146.77571	4.16919E-05
GFS_11384	156875.4059	0.000715054
GFS_114	24349.31046	0.000110987
GFS_11400	8754.045493	3.99018E-05
GFS_11403	117603.9047	0.00053605
GFS_11411	30005.88784	0.00013677
GFS_11434	12972.39457	5.91294E-05
GFS_11475	17402.78509	7.93236E-05
GFS_11476	16864.68331	7.68709E-05
GFS_11482	2815.581313	1.28337E-05
GFS_11492	455068.9854	0.002074249
GFS_11498	69655.0552	0.000317495
GFS_11518	4006.811381	1.82634E-05
GFS_11529	727539.2251	0.003316195
GFS_11543	356846.0654	0.001626539
GFS_11547	323125.173	0.001472836
GFS_11554	205829.3709	0.00093819
GFS_11564	18771.30066	8.55614E-05
GFS_11573	4640.864639	2.11535E-05
GFS_11575	33863.92989	0.000154355
GFS_11581	18298.55153	8.34066E-05
GFS_11589	9385.125475	4.27783E-05
GFS_11600	8102.588759	3.69324E-05
GFS_11606	269167.5913	0.001226892
GFS_1161	33314.57585	0.000151851
GFS_11612	39430.28342	0.000179727
GFS_11616	9009.095516	4.10643E-05
GFS_11617	75773.7397	0.000345384
GFS_11626	180276.1549	0.000821716
GFS_11651	257998.8984	0.001175984
GFS_11667	17218.72817	7.84847E-05
GFS_11680	7728.695229	3.52282E-05
GFS_11693	203189.6419	0.000926158
GFS_11699	26663.94935	0.000121537
GFS_11701	131184.6546	0.000597953
GFS_11729	6732.266769	3.06863E-05
GFS_11733	65875.45881	0.000300267
GFS_11736	184534.0579	0.000841124
GFS_11739	92386.30827	0.000421106
GFS_11768	167613.668	0.000764
GFS_11779	96639.27997	0.000440491
GFS_118	1965.932201	8.96091E-06
GFS_11808	39531.47582	0.000180188
GFS_11819	30250.64751	0.000137885
GFS_11830	8877.664182	4.04653E-05
GFS_11851	796765.5204	0.003631736
GFS_11855	85917.76182	0.000391622
GFS_11876	3248.146621	1.48054E-05
GFS_11877	3581.166197	1.63233E-05
GFS_11878	24305.84736	0.000110788
GFS_11879	117996.2993	0.000537839
GFS_1188	110822.0491	0.000505138
GFS_11880	873.3928957	3.98101E-06
GFS_11881	21693.0906	9.88792E-05
GFS_11884	52846.26699	0.000240878
GFS_11889	107444.5493	0.000489743
GFS_11895	83221.29474	0.000379331
GFS_11898	13404.87388	6.11007E-05
GFS_11901	2560.853633	1.16726E-05
GFS_11902	112660.0693	0.000513516
GFS_11904	9938.75573	4.53018E-05
GFS_11905	15848.1081	7.22372E-05
GFS_1192	82656.18588	0.000376755
GFS_11924	92620.5596	0.000422174
GFS_11943	35039.43762	0.000159713
GFS_11949	153087.2017	0.000697787
GFS_11970	21477.45073	9.78963E-05
GFS_11975	59402.76027	0.000270764
GFS_11981	52590.13003	0.000239711
GFS_11985	20139.57423	9.17982E-05
GFS_11995	208419.8939	0.000949998
GFS_12016	31810.33918	0.000144995
GFS_12021	11170.38215	5.09157E-05
GFS_12027	6439.606661	2.93524E-05
GFS_12031	16146.5193	7.35974E-05
GFS_12034	392326.6679	0.001788263
GFS_12037	1487.877729	6.78189E-06
GFS_12086	18372.82496	8.37451E-05
GFS_12090	93555.24455	0.000426434
GFS_12094	38887.33426	0.000177252
GFS_12111	4999.472555	2.27881E-05
GFS_12114	9106.298908	4.15074E-05
GFS_12119	6156.504299	2.8062E-05
GFS_12121	86812.02721	0.000395698
GFS_12125	1669.789066	7.61106E-06
GFS_12135	3771.4409	1.71906E-05
GFS_12189	1215.735563	5.54144E-06
GFS_12192	947.9318994	4.32077E-06
GFS_12195	3353.230585	1.52844E-05
GFS_12196	4755.125614	2.16743E-05
GFS_12198	4075.00316	1.85743E-05
GFS_12201	39094.85666	0.000178198
GFS_12209	52929.89952	0.00024126
GFS_12220	1411.216389	6.43246E-06
GFS_12221	8092.930274	3.68884E-05
GFS_12222	53768.13723	0.00024508
GFS_12223	1057.870785	4.82188E-06
GFS_12224	10178.54	4.63948E-05
GFS_12268	14496.10227	6.60747E-05
GFS_12291	382287.7407	0.001742505
GFS_12315	162980.5262	0.000742881
GFS_12324	32762.17386	0.000149333
GFS_1235	5873.971407	2.67741E-05
GFS_12357	24595.96431	0.000112111
GFS_12368	19332.65579	8.81201E-05
GFS_12371	1356.140176	6.18142E-06
GFS_12374	85996.70579	0.000391981
GFS_12380	125289.4973	0.000571082
GFS_12383	807.1022753	3.67885E-06
GFS_12386	58304.04348	0.000265756
GFS_12387	1663.051579	7.58035E-06
GFS_12390	9707.226514	4.42465E-05
GFS_1240	5713.352206	2.6042E-05
GFS_12411	2234.576663	1.01854E-05
GFS_12412	43917.44517	0.00020018
GFS_12429	45126.24205	0.00020569
GFS_1243	162218.5736	0.000739408
GFS_12433	192295.3079	0.000876501
GFS_12447	1409.90519	6.42649E-06
GFS_12468	10764.38117	4.90651E-05
GFS_12470	146790.8854	0.000669087
GFS_1249	14378.11452	6.55369E-05
GFS_125	4266.940476	1.94491E-05
GFS_12504	25685.84678	0.000117079
GFS_12518	47726.00097	0.00021754
GFS_12521	36355.14021	0.00016571
GFS_12523	29434.69873	0.000134166
GFS_12524	81499.6129	0.000371483
GFS_12530	19321.50642	8.80693E-05
GFS_12554	49359.12921	0.000224984
GFS_12560	57940.72325	0.0002641
GFS_12570	54421.23404	0.000248057
